  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.054  0.8239532       2173       9.49      0.265       1.842
     2.081  0.7796013       2016       4.81      1.842       2.320
     2.488  0.7648209       1914       4.02      2.320       2.655
     2.789  0.6135619       1803       3.59      2.655       2.922
     3.035  0.5345388       1759       3.29      2.922       3.148
     3.246       -nan       1509       3.08      3.148       3.345
     3.433       -nan       1329       2.91      3.345       3.521
     3.601       -nan       1029       2.78      3.521       3.681
     3.755  0.3938054        320       2.66      3.681       3.829
     3.897       -nan         75       2.57      3.829       3.965
