  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.054      58.27       2174       9.49      0.265       1.842
     2.081      56.31       2010       4.81      1.842       2.320
     2.488      69.09       1914       4.02      2.320       2.655
     2.789      99.41       1813       3.59      2.655       2.922
     3.035     174.31       1779       3.29      2.922       3.148
     3.246     332.06       1553       3.08      3.148       3.345
     3.433     446.76       1340       2.91      3.345       3.521
     3.601    1461.80       1032       2.78      3.521       3.681
     3.755   28159.93        315       2.66      3.681       3.829
     3.897   -1208.17         62       2.57      3.829       3.965
