  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.055  0.4729371       2234       9.48      0.256       1.855
     2.095  0.4704395       2080       4.77      1.855       2.336
     2.505  0.3318584       1964       3.99      2.336       2.673
     2.808  0.2399575       1908       3.56      2.673       2.942
     3.056  0.0255797       1818       3.27      2.942       3.169
     3.268 -0.0070279       1595       3.06      3.169       3.368
     3.456 -0.0081942       1447       2.89      3.368       3.545
     3.626 -0.0271177       1034       2.76      3.545       3.706
     3.781 -0.0312353        313       2.65      3.706       3.855
     3.924 -0.2865634         42       2.55      3.855       3.993
