  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.055  0.8013543       2234       9.48      0.256       1.855
     2.095  0.7999140       2080       4.77      1.855       2.336
     2.505  0.7059312       1964       3.99      2.336       2.673
     2.808  0.6221266       1908       3.56      2.673       2.942
     3.056  0.2233459       1818       3.27      2.942       3.169
     3.268       -nan       1595       3.06      3.169       3.368
     3.456       -nan       1447       2.89      3.368       3.545
     3.626       -nan       1034       2.76      3.545       3.706
     3.781       -nan        313       2.65      3.706       3.855
     3.924       -nan         42       2.55      3.855       3.993
