  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.056      57.80       2244       9.47      0.256       1.856
     2.097      52.88       2077       4.77      1.856       2.338
     2.507      77.45       1950       3.99      2.338       2.676
     2.810     125.91       1891       3.56      2.676       2.945
     3.058     245.67       1843       3.27      2.945       3.172
     3.271     529.12       1620       3.06      3.172       3.371
     3.460    1003.98       1447       2.89      3.371       3.548
     3.629    1112.31       1020       2.76      3.548       3.710
     3.784   -1340.91        308       2.64      3.710       3.858
     3.927     621.34         45       2.55      3.858       3.996
